job_id,num_qubits,layers,rotations,entanglement,param_count,num_shots,depth,req_iterations,cpu_units,mem_bw,arrival_time,priority
44,25,7,"ry, rz, rx",circular,600,4800,199,5,6,13,66.77485361406522,2
45,11,8,"rx, ry, rz",circular,297,2800,115,5,9,13,72.17067504648526,2
46,15,7,"rz, rx, ry",circular,360,4200,129,9,6,10,75.68644174739184,2
47,17,7,"rx, rz, ry",circular,408,3800,143,9,8,12,75.8504341101768,2
48,14,7,"ry, rx",circular,224,2200,114,8,5,10,76.1309050464513,2
49,24,6,rx,circular,168,4800,151,8,5,12,78.32211697126594,2
50,12,6,"rz, rx, ry",circular,252,1500,93,8,6,12,80.13782551607444,2
51,19,5,rz,circular,114,2300,101,7,6,14,84.16051115729027,2
52,11,5,rz,circular,66,2500,61,7,9,16,86.91847896069582,2
53,10,8,"ry, rx",circular,180,4800,98,5,8,19,88.25951759306835,2
54,22,7,"rx, ry, rz",circular,528,3000,178,7,6,16,88.38836415045938,2
55,23,5,"rz, rx, ry",circular,414,1100,133,7,7,16,89.72371785424542,2
56,12,7,"ry, rz, rx",circular,288,3700,108,7,5,13,96.41967363107493,2
57,20,6,"ry, rz, rx",circular,420,3600,141,5,9,12,98.237117693011,2
58,24,5,rx,circular,144,3700,126,5,7,14,100.744682822576,2
59,21,7,rx,circular,168,3500,155,5,9,17,103.54301384698297,2
60,15,8,"rz, ry",circular,270,3100,138,7,7,10,105.07667993136505,2
61,14,6,rz,circular,98,2400,91,6,7,13,105.1465138712532,2
62,19,7,"rx, ry, rz",circular,456,1700,157,9,7,17,107.74226743191427,2
63,10,6,"rz, ry",circular,140,4200,74,8,8,16,109.50590234181917,2
64,12,5,"rx, rz",circular,144,3300,72,8,6,16,109.85327988838381,2
65,19,8,"ry, rz",circular,342,1200,170,5,6,17,109.95467952296778,2
66,13,6,"rx, rz, ry",circular,273,2700,99,7,5,10,111.17872378437949,2
67,23,7,rz,circular,184,3000,169,9,5,17,112.1530468850183,2
68,15,8,"ry, rz, rx",circular,405,3900,147,9,8,17,112.79687807920591,2
69,23,8,"ry, rx, rz",circular,621,3900,211,9,7,12,120.32544213890576,2
70,25,6,rx,circular,175,4600,157,8,9,18,122.75199028237084,2
71,20,5,"rx, rz",circular,240,3200,112,5,5,15,123.4369119078111,2
72,16,5,rz,circular,96,2400,86,5,5,10,124.43323610620791,2
73,16,6,rz,circular,112,3800,103,9,8,14,125.00955159618655,2
74,24,8,rz,circular,216,1700,201,5,7,15,125.36418186240623,2
75,16,7,"rz, rx, ry",circular,384,4100,136,7,7,12,126.06491690825187,2
76,22,8,"ry, rz",circular,396,1200,194,5,8,15,126.22923649736934,2
77,18,8,rz,circular,162,2500,153,6,8,17,127.77006054832447,2
78,13,7,rz,circular,104,4400,99,8,9,11,129.2551614397721,2
79,20,6,"rz, ry, rx",circular,420,3100,141,9,6,18,133.76525119681176,2
80,19,6,"rx, rz, ry",circular,399,3400,135,7,7,19,134.63510218251753,2
81,20,7,rz,circular,160,5000,148,9,9,18,135.46485405983668,2
82,19,7,"ry, rz",circular,304,2800,149,9,6,16,139.53227123223107,2
83,19,5,"rx, rz",circular,228,5000,107,5,7,10,140.563798834123,2
84,14,8,ry,circular,126,2900,121,7,6,13,140.66489134216272,2
85,20,8,"rz, ry",circular,360,4000,178,8,5,10,143.9089202876166,2
86,14,6,"rz, ry, rx",circular,294,3800,105,5,8,14,144.2391823822112,2
87,19,6,"ry, rz",circular,266,3500,128,6,6,18,146.14935334886053,2
88,17,7,"rx, rz, ry",circular,408,2900,143,9,6,14,154.24622556400794,2
89,12,6,"rz, ry",circular,168,4900,86,7,7,14,158.55524768508297,2
90,19,8,"rx, rz",circular,342,4900,170,6,7,15,158.66452270257074,2
91,21,6,"ry, rz",circular,294,4000,140,5,9,10,159.89756970075828,2
92,15,7,rz,circular,120,3900,113,7,6,19,161.77265686980087,2
93,11,7,"rx, rz, ry",circular,264,4500,101,9,8,15,162.08424270101733,2
94,11,5,"rx, ry, rz",circular,198,3100,73,7,6,13,162.09813542055636,2
95,12,7,"rx, ry",circular,192,4700,100,6,8,13,167.2911895106482,2
96,25,7,rx,circular,200,2100,183,9,6,17,169.7727671660336,2
97,19,10,"rz, rx, ry",circular,627,2700,223,9,6,13,175.8672927722299,2
98,21,5,rz,circular,126,4500,111,8,9,18,176.74976285449006,2
99,19,5,"rz, ry",circular,228,1700,107,7,8,18,177.02508380598476,2
100,24,6,rz,circular,168,4300,151,6,9,10,179.66895975940693,2
101,12,6,"ry, rx",circular,168,4000,86,6,5,10,180.50529403093506,2
102,21,9,"ry, rz, rx",circular,630,4900,219,9,5,19,183.24473809029433,2
103,19,9,"ry, rz",circular,380,1600,191,7,7,14,184.9911097332705,2
104,19,6,"ry, rx, rz",circular,399,1500,135,6,5,18,187.393989521351,2
105,20,7,"ry, rx",circular,320,4500,156,9,9,19,188.87760950910854,2
106,14,6,rz,circular,98,2900,91,6,8,16,191.5634844683797,2
107,21,7,"ry, rx, rz",circular,504,4500,171,6,7,17,192.4794705743586,2
108,24,4,"ry, rz",circular,240,3900,106,5,9,18,193.48115191567152,2
109,15,4,"ry, rx, rz",circular,225,4000,75,6,8,18,195.99205260941386,2
110,14,6,"rx, ry, rz",circular,294,3200,105,6,7,19,196.60315159649952,2
111,13,6,rz,circular,91,2400,85,5,8,14,200.62584270174605,2
112,17,7,rz,circular,136,4300,127,5,5,11,201.51993122672442,2
113,18,5,"rz, ry",circular,216,3600,102,6,8,10,203.44343728284073,2
114,12,6,"ry, rz, rx",circular,252,3500,93,5,9,12,203.63607447457034,2
115,22,6,ry,circular,154,4900,139,8,7,19,205.2542899725283,2
116,25,5,"rx, rz",circular,300,2900,137,7,9,15,207.458156340333,2
117,20,6,ry,circular,140,4600,127,8,8,15,211.12210982063124,2
118,17,5,"ry, rx",circular,204,1300,97,5,6,10,215.76133044258992,2
119,25,7,"rz, ry",circular,400,3800,191,7,6,10,216.9676213099962,2
120,25,7,"ry, rz",circular,400,1800,191,5,5,14,217.13939121930838,2
121,13,8,"rx, rz, ry",circular,351,2300,131,9,6,11,219.20898469572344,2
122,15,7,"rz, ry, rx",circular,360,2100,129,9,9,12,219.77748441935836,2
123,22,6,"ry, rx, rz",circular,462,3700,153,5,6,10,221.03167080204537,2
124,25,6,"rx, rz",circular,350,3300,164,7,5,16,225.38333792559712,2
125,21,8,rz,circular,189,3900,177,9,6,19,226.0122985671438,2
126,12,6,rz,circular,84,4600,79,7,7,10,234.55333823991404,2
127,20,8,"ry, rx",circular,360,2200,178,7,7,13,237.1469054339127,2
128,17,5,"ry, rx, rz",circular,306,1800,103,5,8,11,239.74254324158056,2
129,17,7,"ry, rz",circular,272,4800,135,9,6,17,241.67381629310262,2
130,12,8,"ry, rz, rx",circular,324,3000,123,8,9,11,245.90467775461093,2
131,18,5,"ry, rx",circular,216,5000,102,9,7,16,246.680051084851,2
132,12,4,"ry, rz",circular,120,2800,58,7,8,15,249.46289933500236,2
133,25,6,"ry, rx",circular,350,2600,164,5,5,13,254.15687524628092,2
134,19,9,rx,circular,190,4800,181,9,8,11,257.4608963981796,2
135,15,6,rz,circular,105,4100,97,9,5,18,260.69604474250394,2
136,22,7,rz,circular,176,3300,162,9,8,13,262.6194988989336,2
137,22,5,rx,circular,132,4600,116,6,6,14,262.81695599675265,2
138,22,5,"rx, ry, rz",circular,396,1900,128,5,7,17,264.42630122946287,2
139,19,5,rz,circular,114,2600,101,8,6,11,264.77122962369054,2
140,14,7,"rz, ry",circular,224,3900,114,9,7,16,266.3271903627356,2
141,14,8,"rz, ry, rx",circular,378,2300,139,7,9,14,269.6583821715035,2
142,15,8,rx,circular,135,2100,129,9,6,13,272.8178168614795,2
143,12,6,"rz, rx, ry",circular,252,2900,93,5,7,14,273.660663203404,2
144,17,7,"ry, rz, rx",circular,408,3500,143,5,7,19,274.7300191620634,2
145,17,7,"rx, rz",circular,272,1800,135,8,6,10,278.3152735868836,2
146,12,7,"ry, rz",circular,192,1300,100,7,6,11,278.76996017208836,2
147,24,7,"rz, ry, rx",circular,576,4400,192,9,8,19,279.2019585693375,2
148,20,9,"rz, rx",circular,400,1900,200,7,5,12,283.0090236378027,2
149,24,8,"ry, rz",circular,432,4600,210,5,7,15,286.5883257051983,2
150,22,5,"ry, rz, rx",circular,396,4800,128,7,8,19,288.508227367413,2
151,18,8,rz,circular,162,3800,153,8,8,19,288.74996874991143,2
152,20,6,ry,circular,140,1200,127,9,5,17,303.8453863033704,2
153,20,7,"rx, ry",circular,320,5000,156,9,9,15,305.68589624375267,2
154,12,7,"rx, ry, rz",circular,288,4500,108,6,5,16,307.78268200521177,2
155,14,5,rx,circular,84,2300,76,6,8,17,309.45136313115455,2
156,24,6,"ry, rz, rx",circular,504,3600,165,8,7,15,309.7309067996855,2
157,17,6,"ry, rz, rx",circular,357,1000,123,6,5,17,313.25252868475917,2
158,17,8,"rx, ry",circular,306,2600,154,9,6,14,314.43326915734514,2
159,14,6,"rx, rz, ry",circular,294,2600,105,8,9,16,315.22365691323694,2
160,18,6,"rz, rx",circular,252,4200,122,7,6,12,316.05431438168864,2
161,11,7,"rx, rz, ry",circular,264,1200,101,5,6,17,317.7919623744194,2
162,17,7,"ry, rz, rx",circular,408,1100,143,6,8,14,321.24587928996664,2
163,25,6,rz,circular,175,3400,157,5,6,19,322.2168880490905,2
164,16,8,rx,circular,144,4600,137,5,8,10,322.7993745646932,2
165,19,8,ry,circular,171,1300,161,7,8,11,326.71855801754697,2
166,10,8,"rx, ry, rz",circular,270,4500,107,9,8,19,328.81466274083743,2
167,25,8,"rz, ry, rx",circular,675,3500,227,8,6,16,333.8438394862291,2
168,24,7,"ry, rz, rx",circular,576,4900,192,7,9,12,334.2280385655918,2
169,14,8,"rz, ry, rx",circular,378,2400,139,6,5,16,334.5297556888535,2
170,21,6,rx,circular,147,4100,133,6,8,13,336.8825888594031,2
171,17,10,"ry, rx, rz",circular,561,1500,203,8,7,13,337.5524168916341,2
172,19,6,"rx, rz, ry",circular,399,1300,135,6,7,19,341.61475636350826,2
173,15,6,"ry, rx",circular,210,3100,104,6,9,16,341.6325473732772,2
174,11,5,"rx, ry",circular,132,1300,67,7,7,17,345.5285465107413,2
175,24,6,"ry, rx",circular,336,2900,158,9,9,16,346.29544397829375,2
176,24,7,ry,circular,192,4000,176,7,6,16,352.69172596331316,2
177,16,6,"rx, ry",circular,224,1000,110,7,6,15,353.6985990081641,2
178,15,8,"rx, rz, ry",circular,405,2700,147,5,8,10,355.4736261241326,2
179,19,9,"ry, rx, rz",circular,570,4000,201,8,8,10,355.6239450304425,2
180,17,8,rz,circular,153,2600,145,5,5,11,358.3651513290166,2
181,14,7,"ry, rx",circular,224,2900,114,9,8,14,358.38586730918024,2
182,20,7,"ry, rz, rx",circular,480,1600,164,6,5,17,359.5468782296719,2
183,12,6,rz,circular,84,2400,79,5,7,13,361.5474436211999,2
184,15,6,rz,circular,105,2800,97,7,8,15,363.75066709540795,2
185,18,5,"rz, rx, ry",circular,324,1500,108,7,9,15,366.921733947971,2
186,19,8,"ry, rz, rx",circular,513,1200,179,9,6,13,368.50968276850966,2
187,21,4,"ry, rx, rz",circular,315,2900,99,8,6,19,369.90462967662137,2
188,11,6,"rx, ry, rz",circular,231,4900,87,7,9,10,370.2108526509272,2
189,22,5,ry,circular,132,1100,116,6,5,18,373.18728414775984,2
190,24,4,"ry, rz, rx",circular,360,4000,111,8,8,12,374.84211234442637,2
191,15,7,"rx, ry",circular,240,4100,121,6,7,12,379.52598431529884,2
192,11,7,ry,circular,88,4600,85,5,9,14,383.7040904769574,2
193,25,7,"ry, rz, rx",circular,600,1900,199,7,9,19,385.0634665272802,2
194,10,3,"rz, ry",circular,80,2700,38,7,8,18,386.69469711244267,2
195,18,8,rx,circular,162,2100,153,7,9,19,387.59404916298286,2
196,23,7,"ry, rx, rz",circular,552,3100,185,6,6,18,388.2737371880439,2
197,21,3,"rz, rx, ry",circular,252,4400,75,9,8,10,389.63790627378705,2
198,13,7,"ry, rz, rx",circular,312,1700,115,9,9,17,391.3104331538039,2
199,19,7,ry,circular,152,1600,141,8,7,17,393.77032549783445,2
200,14,9,"rz, rx, ry",circular,420,3900,156,8,7,15,394.0802466504916,2
201,19,7,ry,circular,152,1400,141,6,6,12,394.23545940546023,2
202,22,8,rz,circular,198,2300,185,8,7,14,395.4319022689844,2
203,16,5,"ry, rz",circular,192,3200,92,8,6,12,398.49115367156634,2
204,19,5,ry,circular,114,1200,101,5,6,10,400.1766372996326,2
205,24,7,"rz, rx",circular,384,1900,184,6,5,11,400.5557614793511,2
206,19,6,"ry, rz, rx",circular,399,1200,135,6,9,16,402.7436336711156,2
207,15,7,"rx, rz",circular,240,1800,121,8,5,15,403.1129490859897,2
208,17,8,"ry, rz",circular,306,2700,154,8,5,16,403.8699975211831,2
209,12,5,rz,circular,72,2200,66,7,5,14,404.7355385772687,2
210,10,7,"rz, rx",circular,160,4600,86,7,9,18,405.3896528997691,2
211,10,10,"rz, ry, rx",circular,330,1500,133,7,8,17,405.59231669115223,2
212,25,5,rx,circular,150,2000,131,5,6,14,405.7552503933818,2
213,19,7,rx,circular,152,4700,141,5,9,14,407.5425894423026,2
214,17,5,"ry, rx",circular,204,2500,97,5,9,13,410.347291038967,2
215,21,6,ry,circular,147,2200,133,6,8,18,411.0717519499384,2
216,18,6,rz,circular,126,2400,115,7,6,15,415.56838476334536,2
217,14,8,rx,circular,126,1500,121,7,9,16,415.7357371652581,2
218,13,6,"rz, ry, rx",circular,273,2000,99,5,9,18,420.23625798302595,2
219,25,7,"rz, ry, rx",circular,600,4900,199,6,7,19,422.2740936465295,2
220,13,5,"rz, ry, rx",circular,234,5000,83,9,6,13,422.7664711087137,2
221,15,6,"rz, ry",circular,210,4300,104,6,8,16,423.5605656593869,2
222,19,5,"rz, ry, rx",circular,342,3000,113,6,6,15,424.2157924764614,2
223,25,8,"rx, ry",circular,450,3600,218,6,9,18,425.2359466764961,2
224,16,6,ry,circular,112,4700,103,7,5,11,427.94257004010865,2
225,23,8,"rx, ry",circular,414,2700,202,7,5,18,428.75889655224057,2
226,15,7,"ry, rx",circular,240,2300,121,8,6,17,431.968495679899,2
227,21,8,"rx, ry, rz",circular,567,3600,195,8,6,11,432.28292704329465,2
228,22,9,ry,circular,220,2100,208,7,7,11,433.5010736955378,2
229,25,10,"rx, ry, rz",circular,825,4700,283,7,6,14,436.58264184453634,2
230,22,7,rx,circular,176,4500,162,7,7,14,437.9323994000375,2
231,22,4,"rz, rx",circular,220,4500,98,8,6,12,440.839173489024,2
232,14,5,"rx, ry, rz",circular,252,4000,88,7,9,15,442.4772774078422,2
233,23,5,"rx, rz",circular,276,4800,127,5,8,11,447.14114772503854,2
234,18,7,ry,circular,144,1700,134,5,8,13,448.5493522398544,2
235,25,6,"rx, rz",circular,350,1400,164,6,8,11,449.6344410165993,2
236,11,7,"rx, rz",circular,176,4400,93,7,8,17,450.6605628510292,2
237,15,8,"ry, rx",circular,270,1500,138,6,7,19,450.91800482815677,2
238,13,6,ry,circular,91,4300,85,7,9,11,452.0342331163126,2
239,22,6,"rz, rx",circular,308,5000,146,6,7,15,454.3202600567383,2
240,14,4,"rz, ry",circular,140,4000,66,8,9,10,461.6332008866108,2
241,11,8,"rz, rx, ry",circular,297,3700,115,8,9,17,461.9334093061143,2
242,15,6,"ry, rx, rz",circular,315,4800,111,8,8,13,462.276085439562,2
243,23,9,"rx, rz, ry",circular,690,3900,237,9,9,13,463.5643660272203,2
244,10,5,rz,circular,60,2900,56,7,7,15,466.4760290768563,2
245,12,8,rz,circular,108,1700,105,8,5,19,468.2523681355664,2
246,23,7,ry,circular,184,2600,169,8,9,13,469.75517368565164,2
247,18,6,"ry, rz, rx",circular,378,3300,129,9,8,16,471.10645186482867,2
248,23,7,"rz, rx, ry",circular,552,2100,185,7,6,11,471.7607749676364,2
249,16,8,rz,circular,144,1100,137,7,9,19,477.72735272053467,2
250,14,8,"ry, rx, rz",circular,378,1300,139,8,8,13,478.0737350949038,2
251,20,5,rx,circular,120,4000,106,7,8,17,478.57943144946614,2
252,11,8,"rz, ry",circular,198,2800,106,7,8,12,479.4262394757603,2
253,10,5,"rx, ry",circular,120,4600,62,9,9,19,480.0721680908258,2
254,22,7,"rz, rx",circular,352,3800,170,8,5,12,480.95191022182814,2
255,20,10,"rz, rx, ry",circular,660,2200,233,8,8,15,485.9993476096991,2
256,23,6,"rx, ry, rz",circular,483,2400,159,5,6,17,490.9263159465303,2
257,17,7,ry,circular,136,1900,127,7,7,15,491.2887866435481,2
258,18,5,"ry, rz, rx",circular,324,4900,108,9,8,11,493.42359593263086,2
259,25,7,rz,circular,200,1300,183,9,8,11,495.8895502290733,2
260,13,5,ry,circular,78,4300,71,7,7,10,498.0519770944689,2
261,16,6,"rx, ry",circular,224,2400,110,7,9,19,498.970731326954,2
262,18,6,"ry, rx",circular,252,2800,122,5,5,13,499.93641035766393,2
263,14,7,"rx, rz",circular,224,2400,114,9,6,11,501.2949794061545,2
264,13,6,ry,circular,91,4100,85,5,5,12,505.9876136412957,2
265,22,5,"rx, ry",circular,264,3400,122,9,6,15,507.49538666688085,2
266,14,6,"rz, rx",circular,196,3100,98,6,6,17,508.26467885785473,2
267,15,4,"ry, rx, rz",circular,225,2200,75,5,9,14,511.2209621521049,2
268,15,5,"ry, rz, rx",circular,270,4000,93,8,6,14,511.593791886121,2
269,11,7,"rx, rz, ry",circular,264,2700,101,8,6,18,511.8739336829131,2
270,12,8,"ry, rx",circular,216,4900,114,9,9,14,513.7881667279323,2
271,25,6,"ry, rz, rx",circular,525,2600,171,9,7,17,514.0316247188447,2
272,14,9,ry,circular,140,2400,136,8,6,18,516.5616054564019,2
273,13,4,rx,circular,65,1200,57,6,5,19,518.4070751943203,2
274,12,5,ry,circular,72,1600,66,8,7,13,519.3920137166193,2
275,17,7,"ry, rx, rz",circular,408,1400,143,5,7,18,523.1857297707212,2
276,23,6,rz,circular,161,1900,145,5,7,15,527.8659805000622,2
277,12,8,"rz, ry, rx",circular,324,1500,123,6,7,11,530.0564642336299,2
278,21,7,ry,circular,168,1700,155,9,9,16,530.317890752828,2
279,19,5,"rz, rx",circular,228,4300,107,5,8,18,531.0336451928714,2
280,10,8,ry,circular,90,4100,89,7,7,18,532.8253800829236,2
281,16,6,ry,circular,112,2000,103,9,6,14,534.7612475906365,2
282,21,6,ry,circular,147,1200,133,5,7,16,535.7198716543174,2
283,14,6,"rz, ry, rx",circular,294,5000,105,5,5,11,536.6809302826573,2
284,15,6,"ry, rx",circular,210,3800,104,8,7,15,539.2818296649968,2
285,13,5,ry,circular,78,3200,71,7,7,13,539.3004842711512,2
286,24,5,"rz, ry, rx",circular,432,2000,138,5,6,18,540.6100143923815,2
287,18,6,rx,circular,126,2500,115,5,8,18,543.9409016754653,2
288,21,5,rz,circular,126,4000,111,7,8,18,544.0070755312998,2
289,16,7,"ry, rx, rz",circular,384,4500,136,8,5,14,545.8910532383165,2
290,22,9,"rz, ry",circular,440,1700,218,8,5,11,549.3476407598986,2
291,19,8,"rx, rz, ry",circular,513,3200,179,8,8,16,551.675677445788,2
292,13,7,rz,circular,104,4600,99,9,7,10,554.326654576829,2
293,19,6,ry,circular,133,4600,121,9,6,13,554.8988259711606,2
294,25,7,"rx, rz, ry",circular,600,2800,199,8,7,15,556.4861702986016,2
295,17,6,"rx, ry, rz",circular,357,2300,123,5,7,10,557.0839939224068,2
296,19,8,"ry, rz",circular,342,2900,170,7,7,13,557.5376113813196,2
297,10,6,"rz, ry",circular,140,1200,74,6,5,19,563.3488637209632,2
298,20,5,"rx, ry",circular,240,4900,112,7,5,16,563.6152473343781,2
299,17,6,"rx, ry",circular,238,4800,116,5,9,14,563.8030667474694,2
300,17,5,"rz, rx, ry",circular,306,1800,103,8,8,12,565.6272540916337,2
301,21,6,"rx, ry",circular,294,5000,140,7,6,18,572.349405659092,2
302,24,8,"rz, ry",circular,432,2600,210,7,6,11,574.2969168703424,2
303,15,6,"ry, rx",circular,210,2400,104,9,5,10,580.4408344769168,2
304,16,7,"rx, ry",circular,256,1800,128,8,7,17,580.8707096617112,2
305,10,7,rz,circular,80,1900,78,8,8,14,581.8721591445735,2
306,12,6,"rx, rz, ry",circular,252,4800,93,9,8,16,582.0974223506418,2
307,20,9,"ry, rx, rz",circular,600,4700,210,7,9,10,582.4567083274525,2
308,19,7,ry,circular,152,3300,141,7,6,18,586.4010968331703,2
309,21,9,"ry, rx, rz",circular,630,2400,219,9,5,17,588.571211746613,2
310,20,5,"rz, ry",circular,240,1200,112,6,5,16,590.4531391652438,2
311,18,3,"rz, ry, rx",circular,216,2500,66,5,5,12,594.4895733306489,2
312,25,8,"ry, rx",circular,450,2000,218,8,5,14,595.4907865783049,2
313,10,8,rx,circular,90,1600,89,9,5,15,596.0537401869965,2
314,18,9,"rx, ry, rz",circular,540,2000,192,8,8,10,596.861895224061,2
315,24,7,"ry, rz",circular,384,3600,184,5,7,14,597.1541890727528,2
316,11,5,"rz, rx",circular,132,1300,67,8,9,10,602.3109205658534,2
317,18,9,"ry, rx, rz",circular,540,3100,192,9,9,19,602.4464822953655,2
318,19,5,rz,circular,114,4900,101,5,9,11,604.0411028781895,2
319,15,8,"ry, rx, rz",circular,405,2400,147,9,6,12,607.4710025847429,2
320,15,4,"rx, ry, rz",circular,225,3800,75,5,8,19,608.4292257470047,2
321,18,7,"rz, rx",circular,288,3400,142,8,7,14,616.2245748039782,2
322,20,6,"rx, ry",circular,280,3400,134,5,6,19,616.9953417737179,2
323,23,6,"rz, ry, rx",circular,483,4800,159,6,9,12,617.3223077710983,2
324,13,7,"rx, ry, rz",circular,312,4900,115,6,6,10,621.831065812896,2
325,25,4,"rx, ry, rz",circular,375,2400,115,7,6,17,625.5818785429781,2
326,12,6,"rz, rx",circular,168,2400,86,9,9,12,625.6162869813795,2
327,21,6,"rz, ry, rx",circular,441,1800,147,5,6,12,627.0450687260886,2
328,22,7,"ry, rx, rz",circular,528,3800,178,8,5,14,627.4774925235256,2
329,13,8,"rx, rz",circular,234,3900,122,6,8,15,628.2804620763364,2
330,20,6,"rz, rx, ry",circular,420,2000,141,7,7,16,633.755695102406,2
331,19,4,rx,circular,95,1000,81,5,6,17,635.3766027805574,2
332,21,6,"rz, ry, rx",circular,441,2300,147,5,7,12,636.9548654838737,2
333,17,6,"rx, rz",circular,238,4000,116,7,6,18,637.0111035011963,2
334,22,8,rz,circular,198,3400,185,8,5,16,637.2340952125757,2
335,17,9,rz,circular,170,4000,163,5,9,15,638.3865617287181,2
336,18,6,rx,circular,126,1400,115,6,9,12,641.2649564888477,2
337,11,7,"rx, rz",circular,176,3100,93,5,9,18,641.8294006510288,2
338,11,8,rx,circular,99,1400,97,6,6,13,642.4199896589856,2
339,19,4,"rx, ry",circular,190,2500,86,5,7,18,643.0198335778786,2
340,24,7,"rz, rx, ry",circular,576,4400,192,5,7,18,644.2776942494507,2
341,11,7,"rx, rz",circular,176,4200,93,9,5,16,644.5329593200112,2
342,22,8,"rz, rx, ry",circular,594,3300,203,7,8,11,646.3858961067326,2
343,21,7,"rz, rx",circular,336,2500,163,9,7,15,649.8240339222643,2
344,25,5,ry,circular,150,3500,131,9,5,17,652.8261755254816,2
345,19,6,ry,circular,133,2400,121,9,5,14,654.9740228343885,2
346,18,5,"rz, ry, rx",circular,324,1300,108,6,7,13,656.9480863543806,2
347,20,9,"ry, rx",circular,400,4300,200,9,6,18,657.7629340215482,2
348,24,5,"ry, rz, rx",circular,432,4100,138,7,9,10,660.9036171920053,2
349,16,8,"rz, rx",circular,288,2000,146,8,5,14,661.9422047048643,2
350,11,6,ry,circular,77,2400,73,5,5,15,662.9967682086808,2
351,12,6,rz,circular,84,4400,79,8,8,13,665.7192375720516,2
352,18,7,rz,circular,144,1300,134,9,7,15,665.8258350971576,2
353,22,9,ry,circular,220,3400,208,7,5,12,667.1507863798645,2
354,20,6,"ry, rz",circular,280,2900,134,6,5,19,667.776413826225,2
355,18,5,rz,circular,108,4400,96,5,6,16,669.4141183062608,2
356,12,5,"ry, rx",circular,144,3700,72,5,6,13,670.8074717893219,2
357,10,8,"ry, rx, rz",circular,270,1200,107,6,6,12,672.718864181488,2
358,18,7,ry,circular,144,1100,134,6,8,15,672.8677762033099,2
